[2020-02-24 00:28:32,232] [DEBUG   ] [released_date: 28 Nov, 2018]
[2020-02-24 00:28:33,323] [DEBUG   ] [released_date: 16 Mar, 2011]
[2020-02-24 00:28:35,129] [DEBUG   ] [released_date: 30 Nov, 2016]
[2020-02-24 00:28:35,143] [DEBUG   ] [released_date: 30 Apr, 2013]
[2020-02-24 00:28:35,256] [DEBUG   ] [released_date: 14 Sep, 2018]
[2020-02-24 00:28:37,866] [DEBUG   ] [released_date: 17 Jun, 2016]
[2020-02-24 00:28:38,453] [DEBUG   ] [released_date: 5 Mar, 2015]
[2020-02-24 00:28:38,455] [DEBUG   ] [released_date: 13 Dec, 2016]
[2020-02-24 00:28:38,482] [DEBUG   ] [released_date: 1 Dec, 2017]
[2020-02-24 00:28:40,994] [DEBUG   ] [released_date: 4 Mar, 2009]
[2020-02-24 00:28:41,697] [DEBUG   ] [released_date: 1 Jan, 2020]
[2020-02-24 00:28:43,358] [DEBUG   ] [released_date: 29 Feb, 2016]
[2020-02-24 00:28:44,073] [DEBUG   ] [released_date: 2 Sep, 2014]
[2020-02-24 00:28:45,246] [DEBUG   ] [released_date: 24 Mar, 2017]
[2020-02-24 00:28:46,229] [DEBUG   ] [released_date: 1 Dec, 2016]
[2020-02-24 00:28:47,547] [DEBUG   ] [released_date: 1 May, 2015]
[2020-02-24 00:28:49,782] [DEBUG   ] [released_date: 10 Aug, 2018]
[2020-02-24 00:28:50,618] [DEBUG   ] [released_date: 19 Jan, 2017]
[2020-02-24 00:28:51,200] [DEBUG   ] [released_date: 14 Apr, 2015]
[2020-02-24 00:28:51,907] [DEBUG   ] [released_date: 26 May, 2016]
[2020-02-24 00:28:52,275] [DEBUG   ] [released_date: 16 Nov, 2015]
[2020-02-24 00:28:53,219] [DEBUG   ] [released_date: 19 Sep, 2014]
[2020-02-24 00:28:53,544] [DEBUG   ] [released_date: 1 May, 2018]
[2020-02-24 00:28:53,763] [DEBUG   ] [released_date: 16 Mar, 2018]
[2020-02-24 00:28:54,834] [DEBUG   ] [released_date: 14 Sep, 2017]
[2020-02-24 00:28:54,896] [DEBUG   ] [released_date: 27 Aug, 2013]
[2020-02-24 00:28:55,172] [DEBUG   ] [released_date: 19 Jan, 2017]
[2020-02-24 00:28:55,772] [DEBUG   ] [released_date: 5 Jan, 2017]
[2020-02-24 00:28:55,919] [DEBUG   ] [released_date: 2 Jan, 2018]
[2020-02-24 00:28:56,494] [DEBUG   ] [released_date: 30 Jun, 2014]
[2020-02-24 00:28:56,496] [DEBUG   ] [released_date: 7 Jun, 2016]
[2020-02-24 00:28:56,721] [DEBUG   ] [released_date: 20 Sep, 2016]
[2020-02-24 00:28:58,756] [DEBUG   ] [released_date: 28 Jan, 2016]
[2020-02-24 00:29:00,672] [DEBUG   ] [released_date: 10 May, 2016]
[2020-02-24 00:29:00,781] [DEBUG   ] [released_date: 15 Nov, 2017]
[2020-02-24 00:29:01,052] [DEBUG   ] [released_date: 14 Sep, 2017]
[2020-02-24 00:29:01,145] [DEBUG   ] [released_date: 5 Nov, 2018]
[2020-02-24 00:29:01,274] [DEBUG   ] [released_date: 20 Jun, 2017]
[2020-02-24 00:29:01,544] [DEBUG   ] [released_date: 15 Nov, 2013]
[2020-02-24 00:29:02,350] [DEBUG   ] [released_date: 16 Mar, 2015]
[2020-02-24 00:29:02,943] [DEBUG   ] [released_date: 26 Sep, 2017]
[2020-02-24 00:29:03,215] [DEBUG   ] [released_date: 24 Apr, 2012]
[2020-02-24 00:29:03,594] [DEBUG   ] [released_date: 24 Mar, 2016]
[2020-02-24 00:29:06,446] [DEBUG   ] [released_date: 14 Sep, 2019]
[2020-02-24 00:29:06,460] [DEBUG   ] [released_date: 29 Jul, 2016]
[2020-02-24 00:29:07,019] [DEBUG   ] [released_date: 4 Feb, 2015]
[2020-02-24 00:29:07,066] [DEBUG   ] [released_date: 31 Jul, 2014]
[2020-02-24 00:29:07,314] [DEBUG   ] [released_date: 19 Aug, 2013]
[2020-02-24 00:29:07,522] [DEBUG   ] [released_date: 29 Jan, 2014]
[2020-02-24 00:29:07,951] [DEBUG   ] [released_date: 31 Aug, 2015]
[2020-02-24 00:29:09,124] [DEBUG   ] [released_date: 10 Feb, 2017]
[2020-02-24 00:29:09,206] [DEBUG   ] [released_date: 1 Apr, 2015]
[2020-02-24 00:29:09,245] [DEBUG   ] [released_date: 29 Jul, 2015]
[2020-02-24 00:29:09,483] [DEBUG   ] [released_date: 25 Sep, 2016]
[2020-02-24 00:29:09,560] [DEBUG   ] [released_date: 24 Sep, 2015]
[2020-02-24 00:29:09,900] [DEBUG   ] [released_date: 4 Sep, 2013]
[2020-02-24 00:29:10,038] [DEBUG   ] [released_date: 2 Nov, 2016]
[2020-02-24 00:29:11,382] [DEBUG   ] [released_date: 21 Dec, 2015]
[2020-02-24 00:29:11,383] [DEBUG   ] [released_date: 12 Mar, 2014]
[2020-02-24 00:29:11,513] [DEBUG   ] [released_date: 18 Feb, 2016]
[2020-02-24 00:29:12,358] [DEBUG   ] [released_date: 17 Jan, 2020]
[2020-02-24 00:29:12,607] [DEBUG   ] [released_date: 23 Oct, 2017]
[2020-02-24 00:29:13,348] [DEBUG   ] [released_date: 31 Aug, 2015]
[2020-02-24 00:29:13,495] [DEBUG   ] [released_date: 12 Feb, 2016]
[2020-02-24 00:29:14,050] [DEBUG   ] [released_date: 9 Oct, 2019]
[2020-02-24 00:29:14,723] [DEBUG   ] [released_date: 28 Mar, 2017]
[2020-02-24 00:29:14,727] [DEBUG   ] [released_date: 11 Jan, 2018]
[2020-02-24 00:29:14,911] [DEBUG   ] [released_date: 22 Sep, 2017]
[2020-02-24 00:29:15,295] [DEBUG   ] [released_date: 19 Jan, 2016]
[2020-02-24 00:29:15,311] [DEBUG   ] [released_date: 30 Sep, 2014]
[2020-02-24 00:29:15,625] [DEBUG   ] [released_date: 6 Jan, 2018]
[2020-02-24 00:29:15,645] [DEBUG   ] [released_date: 5 Dec, 2017]
[2020-02-24 00:29:15,678] [DEBUG   ] [released_date: 9 Jan, 2015]
[2020-02-24 00:29:15,680] [DEBUG   ] [released_date: 7 Apr, 2016]
[2020-02-24 00:29:15,860] [DEBUG   ] [released_date: 19 Jul, 2019]
[2020-02-24 00:29:15,913] [DEBUG   ] [released_date: 13 Aug, 2013]
[2020-02-24 00:29:15,970] [DEBUG   ] [released_date: 16 Jan, 2015]
[2020-02-24 00:29:15,993] [DEBUG   ] [released_date: 4 Feb, 2016]
